user Type,title,Rank
2,USER MANAGER,1
2,CASHBOOK,2
2,COMMODITY LOAN PRODUCTS,3
2,LOAN CRITERIA SETTINGS,4
2,SERVICE CHARGES,5
2,UTILITIES,6
2,INVOICE MANAGEMENT,7
2,COMPONENTS,8
2,DATA IMPORTS,9
2,CASH WITHDRAWAL APPROVAL,10
2,SHARE PURCHASE APPROVAL,11
2,LOAN REQUEST APPROVAL,12
2,LOAN APPLICATION APPROVAL,13
2,LOAN UNSCHEDULING APPROVAL,14
2,COMMODITY LOAN APPROVAL,15
2,MEMBERS EXCEPTIONS,16
2,SHARE PURCHASE APPROVAL,17
2,CASH WITHDRAWAL APPROVAL,18
3,MEMBERSHIP REGISTRATION,1
3,MEMBERSHIP TERMINATION,2
3,STANDING ORDER PLACEMENT,3
3,TRANSACTION ADJUSTMENT,4
3,TRANSACTION SUSPENSE,5
3,LOAN SUSPENSE,6
3,CASH DEPOSIT,7
3,CASH WITHDRAWAL,8
3,XMAS SAVINGS TRANSACTIONS,9
3,XMAS SAVINGS OPERATION,10
3,PERSONNEL INFO,11
3,SHARE MANAGEMENT,12
3,INITIAL SHARES MANAGER,13
3,NEXT OF KIN,14
3,MEMBERS WAVERS,15
3,LOAN MANAGEMENT,16
3,MONTHLY DEDUCTIONS,17
3,BANK ACCOUNTS,18
3,DAY END TRANSACTION,19
3,SHARE UPDATE APPROVAL,20
3,SHOP CREDIT SALES APPROVALS,21
3,TRANSACTION ADJUSTMENT APPROVAL,22
3,STANDING ORDER SUSPENSION APPROVAL,23
3,GENERAL REPORT,24
3,DATA CAPTURE,25
4,SALES,1
4,DAY END TRANSACTION,2
4,MONTH END TRANSACTION,3
4,MONTHLY DEDUCTION,4
4,DEBT RECOVERY,5
4,PURCHASES TRACKING,6
4,ITEM WRITE OFF,7
4,SUPPLIERS MANAGEMENT,8
4,PURCHASES CERTIFICATION,9
4,ITEM WRITE OFF APPROVAL,10
4,PERSONAL LEDGER,11
4,GENERAL REPORT,12
4,PRODUCT MANAGEMENT,13
