id,title
1,Access Bank Plc 
2,Citibank Nigeria Limited 
3,Ecobank Nigeria Plc 
4,Fidelity Bank Plc 
5,FIRST BANK NIGERIA LIMITED 
6,First City Monument Bank Plc 
7,Globus Bank Limited 
8,Guaranty Trust Bank Plc 
9,Heritage Banking Company Ltd. 
10,Key Stone Bank 
11,Polaris Bank 
12,Providus Bank 
13,Stanbic IBTC Bank Ltd. 
14,Standard Chartered Bank Nigeria Ltd. 
15,Sterling Bank Plc 
16,SunTrust Bank Nigeria Limited 
17,Titan Trust Bank Ltd 
18,Union Bank of Nigeria Plc 
19,United Bank For Africa Plc 
20,Unity Bank Plc 
21,Wema Bank Plc 
22,Zenith Bank Plc
